Name,Global_Region,Country,Full_Or_Age_Disagg_Data,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Raw_Age_Group,,
,East Africa,Malawi,0,0,1,369,159,0.430894,368,133,0.361413,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,427,129,0.302108,427,85,0.199063,New,5-15years,5-15years,,
,East Africa,Malawi,0,1,1,406,79,0.194581,395,35,0.088608,New,15+,15+,,
,East Africa,Malawi,0,1,1,464,68,0.146552,461,22,0.047722,New,15+,15+,,
,East Africa,Malawi,0,0,1,486,112,0.230453,486,63,0.129630,New,15+,15+,,
,East Africa,Malawi,0,0,1,455,71,0.156044,480,33,0.068750,New,15+,15+,,
,East Africa,Malawi,0,0,1,453,133,0.293598,451,70,0.155211,New,15+,15+,,
,East Africa,Malawi,0,0,1,478,76,0.158996,479,25,0.052192,New,15+,15+,,
,East Africa,Malawi,0,1,1,163,11,0.067485,163,11,0.067485,New,0-5,0-5,,
,East Africa,Malawi,0,1,1,189,9,0.047619,189,9,0.047619,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,187,19,0.101604,189,16,0.084656,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,169,7,0.041420,169,2,0.011834,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,161,17,0.105590,161,11,0.068323,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,167,11,0.065868,167,6,0.035928,New,0-5,0-5,,
,East Africa,Malawi,0,1,1,215,63,0.293023,207,44,0.212560,New,5-15years,5-15years,,
,East Africa,Malawi,0,1,1,306,63,0.205882,302,28,0.092715,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,375,93,0.248000,385,69,0.179221,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,369,54,0.146341,369,29,0.078591,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,355,68,0.191549,355,40,0.112676,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,420,64,0.152381,420,39,0.092857,New,5-15years,5-15years,,
,East Africa,Malawi,0,1,1,398,44,0.110553,388,30,0.077320,New,15+,15+,,
,East Africa,Malawi,0,1,1,472,27,0.057203,468,10,0.021368,New,15+,15+,,
,East Africa,Malawi,0,0,1,465,43,0.092473,479,21,0.043841,New,15+,15+,,
,East Africa,Malawi,0,0,1,455,15,0.032967,454,4,0.008811,New,15+,15+,,
,East Africa,Malawi,0,0,1,444,64,0.144144,444,35,0.078829,New,15+,15+,,
,East Africa,Malawi,0,0,1,443,29,0.065463,443,12,0.027088,New,15+,15+,,
,East Africa,Malawi,2,1,1,708,57,0.080508,692,26,0.037572,New,All Ages,All Ages,,
,East Africa,Malawi,2,1,1,846,43,0.050827,843,15,0.017794,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,945,86,0.091005,946,64,0.067653,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,477,26,0.054507,478,17,0.035565,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,997,85,0.085256,996,38,0.038153,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1041,54,0.051873,1062,31,0.029190,New,All Ages,All Ages,,
,East Africa,Malawi,2,1,1,887,230,0.259301,855,141,0.164912,New,All Ages,All Ages,,
,East Africa,Malawi,2,1,1,1028,211,0.205253,1000,102,0.102000,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1105,337,0.304977,1106,240,0.216998,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1056,199,0.188447,1081,132,0.122109,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1043,361,0.346117,1040,246,0.236538,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1125,240,0.213333,1126,139,0.123446,New,All Ages,All Ages,,
,East Africa,Malawi,2,1,1,776,118,0.152062,754,88,0.116711,New,All Ages,All Ages,,
,East Africa,Malawi,2,1,1,967,99,0.102378,958,47,0.049061,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1027,155,0.150925,1053,106,0.100665,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,993,76,0.076536,992,35,0.035282,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,960,149,0.155208,960,86,0.089583,New,All Ages,All Ages,,
,East Africa,Malawi,2,0,1,1030,104,0.100971,1030,57,0.055340,New,All Ages,All Ages,,
Vafa (2007),West Africa,Mali,2,1,1,212,85,0.400943,212,34,0.160377,Old,All Ages,Children&Adults,,
Vafa (2007),West Africa,Mali,2,1,1,214,66,0.308411,214,32,0.149533,Old,All Ages,Children&Adults,,
Roper (1996),East Africa,Sudan,2,0,0,79,10,0.126582,79,2,0.025316,Old,All Ages,Children&Adults,,
Roper (1996),East Africa,Sudan,2,0,0,79,15,0.189873,79,4,0.050633,Old,All Ages,Children&Adults,,
Roper (1996),East Africa,Sudan,2,0,0,79,19,0.240506,79,8,0.101266,Old,All Ages,Children&Adults,,
