n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
,East Africa,Kenya,2,N,0,0,213,116,0.544600939,216,84,0.38888889,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,200,41,0.205,202,8,0.03960396,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,189,65,0.343915344,190,45,0.23684211,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,209,85,0.406698565,208,29,0.13942308,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,322,15,0.046583851,357,8,0.02240896,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,300,16,0.053333333,300,14,0.04666667,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,222,109,0.490990991,221,43,0.19457014,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,161,35,0.217391304,205,7,0.03414634,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,181,46,0.254143646,179,36,0.20111732,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,401,21,0.052369077,401,10,0.02493766,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,217,82,0.377880184,215,67,0.31162791,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,369,32,0.086720867,460,14,0.03043478,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,244,21,0.086065574,251,27,0.10756972,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,197,8,0.040609137,188,7,0.03723404,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,250,9,0.036,250,1,0.004,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,204,4,0.019607843,204,1,0.00490196,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,382,16,0.041884817,378,3,0.00793651,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,217,45,0.207373272,217,48,0.22119816,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,237,27,0.113924051,245,4,0.01632653,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,,,230,78,0.339130435,230,3,0.01304348,New,0-18,3-18years,3-18years,,,,
