n,Global_Region,Country,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Rainy_Or_Dry,Notes on rainy/dry,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,"(for old papers, admin unit 1)"
,West Africa,Mali,N,1,1,94,41,0.436170213,99,20,0.2020202,New,rainy,midway through high season,,,,,
Amoah (15:388),West Africa,Ghana,N,1,1,170,85,0.5,170,49,0.28823529,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,50,0.294117647,170,38,0.22352941,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,65,0.382352941,170,44,0.25882353,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,66,0.388235294,170,10,0.05882353,New,,,0-15,May-15,05-Dec,unclear check,
Amoah (15:101),West Africa,Ghana,N,0,1,291,205,0.704467354,291,120,0.41237113,New,,,0-15,,<17,unclear check,
,West Africa,Ghana,N,1,1,267,110,0.411985019,267,2,0.00749064,New,,,0-15,,<17,unclear check,
Dinko,West Africa,Ghana,N,1,1,270,207,0.766666667,270,165,0.61111111,New,rainy,end or rainy into beg dry,0-15,,May-17,,
Fancony,West Africa,Angola,N,0,1,3307,525,0.158754158,3307,525,0.15875416,New,rainy,end or rainy into beg dry,Both,,Children&Adults,,
Congpuong,Asia,Thailand,Y,,,475,4,0.008421053,475,0.000210526,0.00000044,New,,,Both,,Children&Adults,,
Lek,Asia,Cambodia,N,,,7707,340,0.044115739,7707,143,0.01855456,New,rainy,,Both,,Children&Adults,,
Cistero,East Africa,Mozambique,N,0,1,95,63,0.663157895,95,51,0.53684211,New,rainy,,Both,,Children&Adults,,
Tiedje,West Africa,Ghana,N,1,1,545,369,0.67706422,901,356,0.39511654,New,rainy,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,547,444,0.811700183,999,452,0.45245245,New,rainy,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,655,271,0.413740458,910,255,0.28021978,New,dry,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,700,304,0.434285714,958,258,0.26931106,New,dry,,Both,,Children&Adults,,
Tadesse,East Africa,Ethiopia,N,0,0,490,45,0.091836735,490,16,0.03265306,New,rainy,,Both,,Children&Adults,,
Goncalves,West Africa,Burkina Faso,N,1,1,198,100,0.505050505,197,51,0.25888325,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,198,166,0.838383838,199,104,0.52261307,New,,,Both,,Children&Adults,,
,East Africa,Kenya,N,0,1,139,52,0.374100719,139,9,0.0647482,New,,,Both,,Children&Adults,,
,East Africa,Kenya,N,0,1,274,105,0.383211679,274,47,0.17153285,New,,,Both,,Children&Adults,,
Walldorf,East Africa,Malawi,N,0,1,161,7,0.043478261,157,5,0.03184713,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,177,6,0.033898305,176,3,0.01704545,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,184,11,0.059782609,184,9,0.04891304,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,152,2,0.013157895,152,3,0.01973684,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,170,8,0.047058824,170,1,0.00588235,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,192,10,0.052083333,196,12,0.06122449,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,185,23,0.124324324,182,15,0.08241758,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,250,22,0.088,250,8,0.032,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,328,42,0.12804878,328,36,0.1097561,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,325,24,0.073846154,326,14,0.04294479,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,382,41,0.107329843,381,24,0.06299213,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,413,27,0.065375303,422,13,0.03080569,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,362,27,0.074585635,353,6,0.01699717,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,419,15,0.035799523,417,4,0.00959233,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,433,33,0.076212471,434,19,0.0437788,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,445,36,0.080898876,445,13,0.02921348,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,436,17,0.038990826,444,6,0.01351351,New,dry,,0-15,,15+,,
