Trans_Now,Trans_Hist,PCR_Tested,PCR_Positive,PCR_Prev,Micro_Tested,Micro_Positive,Micro_Prev,Density,Old_or_New
,,372,164,0.440860215,372,130,0.349462366,,Old
,,372,190,0.510752688,372,130,0.349462366,,Old
,,98,8,0.081632653,98,8,0.081632653,,Old
,,470,244,0.519148936,493,57,0.115618661,,Old
,,406,225,0.554187192,406,140,0.344827586,,Old
,,1527,10,0.006548788,1777,0,0,,Old
,,201,141,0.701492537,201,117,0.582089552,,Old
,,203,71,0.349753695,203,45,0.221674877,,Old
,,153,76,0.496732026,153,45,0.294117647,,Old
,,133,65,0.488721805,133,41,0.308270677,,Old
,,145,72,0.496551724,145,31,0.213793103,,Old
,,172,101,0.587209302,172,58,0.337209302,,Old
,,174,91,0.522988506,174,57,0.327586207,,Old
,,163,82,0.503067485,163,38,0.233128834,,Old
,,174,102,0.586206897,174,49,0.281609195,,Old
,,184,88,0.47826087,184,61,0.331521739,,Old
,,166,101,0.608433735,166,48,0.289156627,,Old
,,174,95,0.545977011,174,57,0.327586207,,Old
,,175,117,0.668571429,175,75,0.428571429,,Old
,,188,148,0.787234043,188,85,0.45212766,,Old
,,148,83,0.560810811,148,23,0.155405405,,Old
,,175,95,0.542857143,175,43,0.245714286,,Old
,,233,8,0.034334764,275,4,0.014545455,,Old
,,277,20,0.072202166,286,2,0.006993007,,Old
,,47,5,0.106382979,47,1,0.021276596,,Old
,,320,11,0.034375,321,4,0.012461059,,Old
,,165,1,0.006060606,166,0,0,,Old
,,452,198,0.438053097,452,115,0.254424779,,Old
,,841,219,0.260404281,934,97,0.10385439,,Old
,,689,185,0.26850508,729,82,0.112482853,,Old
,,818,194,0.237163814,834,33,0.039568345,,Old
,,264,131,0.496212121,264,86,0.325757576,,Old
,,204,136,0.666666667,204,75,0.367647059,,Old
,,205,115,0.56097561,205,68,0.331707317,,Old
,,209,126,0.602870813,209,48,0.229665072,,Old
,,202,119,0.589108911,202,53,0.262376238,,Old
,,141,55,0.390070922,141,20,0.141843972,,Old
,,143,88,0.615384615,143,49,0.342657343,,Old
,,118,80,0.677966102,118,31,0.262711864,,Old
,,134,87,0.649253731,134,38,0.28358209,,Old
,,205,4,0.019512195,205,1,0.004878049,,Old
,,386,35,0.090673575,388,6,0.015463918,,Old
,,379,33,0.08707124,378,6,0.015873016,,Old
,,328,22,0.067073171,329,0,0,,Old
,,334,8,0.023952096,351,1,0.002849003,,Old
,,263,102,0.3878327,258,34,0.131782946,,Old
,,347,71,0.204610951,346,64,0.184971098,,Old
,,359,131,0.364902507,358,82,0.229050279,,Old
,,317,129,0.406940063,314,55,0.175159236,,Old
,,366,147,0.401639344,356,96,0.269662921,,Old
,,359,115,0.320334262,358,82,0.229050279,,Old
,,413,2,0.004842615,413,0,0,,Old
,,337,263,0.78041543,337,243,0.721068249,,Old
,,360,212,0.588888889,360,174,0.483333333,,Old
,,545,92,0.168807339,545,61,0.111926606,,Old
,,102,73,0.715686275,102,59,0.578431373,,Old
,,235,142,0.604255319,235,77,0.327659574,,Old
